2026-05-20 18:37:39.380 [Form1.cs:182] Application startup
2026-05-20 19:14:25.436 [PortIO.cs:29] OpenPort result:True
2026-05-20 19:14:25.441 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-20 19:14:25.467 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:14:25.468 [PortIO.cs:43] WritePort result:True | Data: 41542B57494649535349443D225468696E636C6162222C22496E6E6F766174696F6E32303137220D0A
2026-05-20 19:14:25.482 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:14:25.483 [PortIO.cs:43] WritePort result:True | Data: 41542B574946494E49503D310D0A
2026-05-20 19:14:25.514 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:14:25.515 [PortIO.cs:43] WritePort result:True | Data: 1BF016
2026-05-20 19:14:25.529 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:14:25.531 [PortIO.cs:43] WritePort result:True | Data: 100601
2026-05-20 19:14:26.042 [PortIO.cs:70] ClosePort result:success
2026-05-20 19:15:08.648 [PortIO.cs:29] OpenPort result:True
2026-05-20 19:15:08.650 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-20 19:15:08.664 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:15:08.665 [PortIO.cs:43] WritePort result:True | Data: 41542B434C4F5544545950453D330D0A
2026-05-20 19:15:08.679 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:15:08.681 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545455524C3D31302E31332E3137372E31340D0A
2026-05-20 19:15:08.694 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:15:08.695 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454504F52543D393838330D0A
2026-05-20 19:15:08.710 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:15:08.711 [PortIO.cs:43] WritePort result:True | Data: 41542B4D5154544445564943454E414D453D757365720D0A
2026-05-20 19:15:08.725 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:15:08.726 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545444455649434549443D3131313232323535350D0A
2026-05-20 19:15:08.741 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:15:08.742 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450415353574F52443D757365723132330D0A
2026-05-20 19:15:08.772 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:15:08.773 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454544F5049433D2F7379732F3131313232323535352F757365722F646174612C2F7379732F3131313232323535352F757365722F7374617475730D0A
2026-05-20 19:15:08.788 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:15:08.789 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450494E473D31300D0A
2026-05-20 19:15:08.866 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:15:08.868 [PortIO.cs:43] WritePort result:True | Data: 1BF016
2026-05-20 19:15:08.881 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:15:08.883 [PortIO.cs:43] WritePort result:True | Data: 100601
2026-05-20 19:15:09.397 [PortIO.cs:70] ClosePort result:success
2026-05-20 19:37:11.429 [PortIO.cs:29] OpenPort result:True
2026-05-20 19:37:11.432 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-20 19:37:11.444 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:37:11.446 [PortIO.cs:43] WritePort result:True | Data: 41542B434C4F5544545950453D330D0A
2026-05-20 19:37:11.461 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:37:11.462 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545455524C3D31302E31332E3137372E31340D0A
2026-05-20 19:37:11.476 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:37:11.477 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454504F52543D393838330D0A
2026-05-20 19:37:11.491 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:37:11.492 [PortIO.cs:43] WritePort result:True | Data: 41542B4D5154544445564943454E414D453D757365720D0A
2026-05-20 19:37:11.507 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:37:11.509 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545444455649434549443D3131313232323535350D0A
2026-05-20 19:37:11.538 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:37:11.539 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450415353574F52443D757365723132330D0A
2026-05-20 19:37:11.554 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:37:11.555 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454544F5049433D2F7379732F3131313232323535352F757365722F646174612C2F7379732F3131313232323535352F757365722F7374617475730D0A
2026-05-20 19:37:11.569 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:37:11.570 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450494E473D31300D0A
2026-05-20 19:37:11.585 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:37:11.586 [PortIO.cs:43] WritePort result:True | Data: 1BF016
